day,district,description,rooms,m2,bathrooms,price,links,house_id
2023-12-29,porta-romana-medaglie-d-oro,"2-room flat excellent condition, fifth floor, Porta Romana - Medaglie d'Oro, Milan",2,60m²,1,"€ 480,000",https://www.immobiliare.it/en/annunci/107841481/,
2023-12-29,porta-romana-medaglie-d-oro,"3-room flat viale Umbria 21, Porta Romana - Medaglie d'Oro, Milan",3,70m²,1,"€ 478,000",https://www.immobiliare.it/en/annunci/107805221/,
2023-12-29,porta-romana-medaglie-d-oro,"3-room flat viale Umbria 21, Porta Romana - Medaglie d'Oro, Milan",3,65m²,1,"€ 478,000",https://www.immobiliare.it/en/annunci/107805205/,
2023-12-29,porta-romana-medaglie-d-oro,"2-room flat via Friuli 32, Porta Romana - Medaglie d'Oro, Milan",2,52m²,1,"€ 319,000",https://www.immobiliare.it/en/annunci/107804603/,
2023-12-29,porta-romana-medaglie-d-oro,"Studio good condition, first floor, Porta Romana - Medaglie d'Oro, Milan",1,43m²,1,"€ 265,000",https://www.immobiliare.it/en/annunci/107772057/,
2023-12-29,porta-romana-medaglie-d-oro,"2-room flat excellent condition, first floor, Porta Romana - Medaglie d'Oro, Milan",2,50m²,1,"€ 360,000",https://www.immobiliare.it/en/annunci/107775249/,
2023-12-29,porta-romana-medaglie-d-oro,"2-room flat viale Monte Nero 8, Porta Romana - Medaglie d'Oro, Milan",2,95m²,2,"€ 419,000",https://www.immobiliare.it/en/annunci/107758557/,
2023-12-29,porta-romana-medaglie-d-oro,"2-room flat viale Sabotino 7, Porta Romana - Medaglie d'Oro, Milan",2,50m²,1,"€ 269,000",https://www.immobiliare.it/en/annunci/108127143/,
2023-12-29,porta-romana-medaglie-d-oro,"2-room flat viale Sabotino 16, Porta Romana - Medaglie d'Oro, Milan",2,66m²,1,"€ 479,000",https://www.immobiliare.it/en/annunci/107703719/,
2023-12-29,porta-romana-medaglie-d-oro,"3-room flat corso Lodi 34, Porta Romana - Medaglie d'Oro, Milan",3,90m²,1,"€ 599,000",https://www.immobiliare.it/en/annunci/107642613/,
2023-12-29,porta-romana-medaglie-d-oro,"3-room flat viale Umbria 25, Porta Romana - Medaglie d'Oro, Milan",3,75m²,1,"€ 465,000",https://www.immobiliare.it/en/annunci/107643799/,
2023-12-29,porta-romana-medaglie-d-oro,"Studio via San Rocco 20, Porta Romana - Medaglie d'Oro, Milan",1,60m²,1,"€ 450,000",https://www.immobiliare.it/en/annunci/107653099/,
