,day,description,rooms,m2,bathrooms,price,links
40,2023-12-29,"3-room flat via Maestri Campionesi, Cadore, Milan",3,85m²,1,"€ 600,000",https://www.immobiliare.it/en/annunci/108306405/
41,2023-12-29,"Apartment via Friuli, Cadore, Milan",5,200m²,2,"€ 1,609,000",https://www.immobiliare.it/en/annunci/108304973/
42,2023-12-29,"2-room flat via Mantova, Porta Romana - Medaglie d'Oro, Milan",2,85m²,1,"€ 540,000",https://www.immobiliare.it/en/annunci/108306089/
43,2023-12-29,"2-room flat via Atto Vannucci, Porta Romana - Medaglie d'Oro, Milan",2,80m²,1,"€ 546,000",https://www.immobiliare.it/en/annunci/108305527/
44,2023-12-29,"2-room flat via Bezzecca, Cadore, Milan",2,70m²,1,"€ 499,000",https://www.immobiliare.it/en/annunci/108306463/
45,2023-12-29,"3-room flat via Gerolamo Tiraboschi, Porta Romana - Medaglie d'Oro, Milan",3,95m²,1,"€ 647,000",https://www.immobiliare.it/en/annunci/108305673/
46,2023-12-29,"3-room flat via Andrea Maffei, Montenero, Milan",3,95m²,1,"€ 707,000",https://www.immobiliare.it/en/annunci/108306115/
47,2023-12-29,"4-room flat via Atto Vanucci, Porta Romana - Medaglie d'Oro, Milan",4,110m²,2,"€ 736,000",https://www.immobiliare.it/en/annunci/108306129/
48,2023-12-29,"3-room flat excellent condition, mezzanine, Cadore, Milan",3,102m²,2,"€ 630,000",https://www.immobiliare.it/en/annunci/108012113/
49,2023-12-29,"2-room flat via Trebbia 33, Porta Romana - Medaglie d'Oro, Milan",2,42m²,1,"€ 319,000",https://www.immobiliare.it/en/annunci/108001339/
50,2023-12-29,"3-room flat viale umbria, 50, Martini - Insubria, Milan",3,120m²,1,"€ 685,000",https://www.immobiliare.it/en/annunci/108340939/
51,2023-12-29,"3-room flat viale umbria, 50, Martini - Insubria, Milan",3,120m²,1,"€ 685,000",https://www.immobiliare.it/en/annunci/108077041/
52,2023-12-29,"Attic via Trebbia 33, Porta Romana - Medaglie d'Oro, Milan",1,32m²,1,"€ 227,000",https://www.immobiliare.it/en/annunci/107945363/
53,2023-12-29,"Studio viale Umbria 54, Martini - Insubria, Milan",1,26m²,1,"€ 150,000",https://www.immobiliare.it/en/annunci/107935875/
54,2023-12-29,"Apartment via Sesto Aurelio Properzio 5, Cadore, Milan",5,140m²,2,"€ 790,000",https://www.immobiliare.it/en/annunci/107906343/
55,2023-12-29,"3-room flat via filippetti, Porta Romana - Medaglie d'Oro, Milan",3,110m²,1,"€ 580,000",https://www.immobiliare.it/en/annunci/107924723/
56,2023-12-29,New construction Apartments in Milan,1 - 3,41m²,8,Price on application,https://www.immobiliare.it/en/annunci/107882241/
57,2023-12-29,"3-room flat via Cadore 35, Cadore, Milan",3,122m²,2,"€ 786,000",https://www.immobiliare.it/en/annunci/107855915/
58,2023-12-29,"Loft via Cadore 35, Cadore, Milan",3,122m²,2,"€ 786,000",https://www.immobiliare.it/en/annunci/107854649/
59,2023-12-29,"3-room flat viale Monte Nero 76, Montenero, Milan",3,101m²,2,"€ 840,000",https://www.immobiliare.it/en/annunci/107856339/
