,description,rooms,m2,bathrooms,price,links
457,"3-room flat via Col di Lana 14, Corso San Gottardo, Milan",3,90m²,2,"€ 695,000",https://www.immobiliare.it/en/annunci/108220285/
458,"2-room flat via Giovanni Battista Carta 13, Ponte Nuovo, Milan",2,82m²,2,"€ 310,000",https://www.immobiliare.it/en/annunci/108229707/
459,"3-room flat via Filippo Argelati 44, Navigli - Darsena, Milan",3,97m²,2,"€ 585,000",https://www.immobiliare.it/en/annunci/108230103/
460,"Apartment at auction via Trasimeno , 40/14, Milan",3,119m²,4,"from € 284,250.00",https://www.immobiliare.it/en/annunci/108231285/
461,"Apartment at auction via Cardinale Mezzofanti 14 - 20133 Milano, Milan",3,83m²,1,"from € 170,250.00",https://www.immobiliare.it/en/annunci/108220725/
462,"2-room flat piazza Sesia 5, Turro, Milan",2,81m²,1,"€ 379,000",https://www.immobiliare.it/en/annunci/108219815/
463,"2-room flat via Luigi Vanvitelli 49/C, Città Studi, Milan",2,54m²,1,"€ 325,000",https://www.immobiliare.it/en/annunci/108222145/
464,"Apartment at auction via Carlo Imbonati 62/2, Milan",2,04/05/2024,57m²,"from € 315,750.00",https://www.immobiliare.it/en/annunci/108228685/
465,"3-room flat via Vespri Siciliani, Giambellino, Milan",3,80m²,1,"€ 345,000",https://www.immobiliare.it/en/annunci/108223959/
466,"3-room flat via Filippo Argelati 44, Navigli - Darsena, Milan",3,97m²,2,"€ 585,000",https://www.immobiliare.it/en/annunci/108231779/
467,"2-room flat via Breno 1, Lodi - Brenta, Milan",2,55m²,1,"€ 279,000",https://www.immobiliare.it/en/annunci/108229153/
468,"3-room flat corso Lodi 59, Lodi - Brenta, Milan",3,133m²,2,"€ 569,000",https://www.immobiliare.it/en/annunci/108221635/
469,"2-room flat via Giulio e Corrado Venini 54, Pasteur, Milan",2,50m²,1,"€ 250,000",https://www.immobiliare.it/en/annunci/108229311/
470,"2-room flat via Cesare Arici 15, Cimiano, Milan",2,32m²,1,"€ 173,000",https://www.immobiliare.it/en/annunci/108225547/
471,"3-room flat via Giovanni Battista Sammartini 37, Centrale, Milan",3,66m²,1,"€ 290,400",https://www.immobiliare.it/en/annunci/108221967/
472,"3-room flat via Cola Montano 22, Isola, Milan",3,85m²,2,"€ 730,000",https://www.immobiliare.it/en/annunci/108230067/
473,"Studio via Felice Poggi 7, Città Studi, Milan",1,15m²,1,"€ 138,000",https://www.immobiliare.it/en/annunci/108225439/
474,"Apartment at auction via Trasimeno 40, Milan",3,02/21/2024,119m²,"from € 284,250.00",https://www.immobiliare.it/en/annunci/108235659/
475,"2-room flat viale Coni Zugna 12, Dezza, Milan",2,45m²,1,"€ 420,000",https://www.immobiliare.it/en/annunci/108235941/
476,"3-room flat via Gabbro 16, Affori, Milan",3,87m²,1,"€ 279,000",https://www.immobiliare.it/en/annunci/108225671/
477,"2-room flat via Giuseppe Ripamonti, Ripamonti, Milan",2,73m²,1,"€ 400,000",https://www.immobiliare.it/en/annunci/108222181/
478,"3-room flat viale Abruzzi 88, Città Studi, Milan",3,80m²,2,"€ 655,000",https://www.immobiliare.it/en/annunci/108258775/
479,"2-room flat viale Abruzzi 88, Città Studi, Milan",2,52m²,1,"€ 365,000",https://www.immobiliare.it/en/annunci/108258753/
480,"Apartment at auction via Bastia 6, Milan",3,02/28/2024,70m²,"from € 213,750.00",https://www.immobiliare.it/en/annunci/108236853/
481,"2-room flat via Pistoia 21, Baggio, Milan",2,47m²,1,"€ 170,000",https://www.immobiliare.it/en/annunci/108221201/
482,"3-room flat via Vincenzo Monti, Vincenzo Monti, Milan",3,113m²,2,"€ 850,000",https://www.immobiliare.it/en/annunci/108231857/
483,"4-room flat via Vincenzo Monti, Vincenzo Monti, Milan",4,152m²,2,"€ 1,150,000",https://www.immobiliare.it/en/annunci/108231069/
484,"Apartment via Vincenzo Monti, Vincenzo Monti, Milan",5,150m²,2,"€ 1,100,000",https://www.immobiliare.it/en/annunci/108232229/
485,"2-room flat via Giovanni Battista Sammartini, Centrale, Milan",2,35m²,1,"€ 220,000",https://www.immobiliare.it/en/annunci/108223353/
486,"Apartment via Vincenzo Monti, Vincenzo Monti, Milan",5+,265m²,3+,"€ 1,980,000",https://www.immobiliare.it/en/annunci/108228927/
487,"2-room flat via Errico Petrella, Buenos Aires, Milan",2,70m²,1,"€ 550,000",https://www.immobiliare.it/en/annunci/108234097/
488,"2-room flat via Giacinto Serrati Menotti 21, Ponte Lambro, Milan",2,40m²,1,"€ 115,000",https://www.immobiliare.it/en/annunci/108222947/
489,"Apartment at auction via Bastia 6, Milan",3,02/28/2024,69m²,"from € 213,750.00",https://www.immobiliare.it/en/annunci/108230195/
490,"3-room flat via Pesaro 19, Bruzzano, Milan",3,97m²,2,"€ 358,000",https://www.immobiliare.it/en/annunci/108231849/
491,"Studio via Orti, Quadronno - Crocetta, Milan",1,30m²,1,"€ 265,000",https://www.immobiliare.it/en/annunci/108226471/
492,"3-room flat via San Giovanni alla Paglia, Repubblica, Milan",3,89m²,2,"€ 880,000",https://www.immobiliare.it/en/annunci/108230151/
493,"3-room flat via Vincenzo da Filicaia 3, Niguarda, Milan",3,95m²,1,"€ 300,000",https://www.immobiliare.it/en/annunci/108220967/
494,"4-room flat via Sapri, Cascina Merlata - Musocco, Milan",4,114m²,1,"€ 340,000",https://www.immobiliare.it/en/annunci/108220893/
495,"Apartment via Fratelli Ruffini, Vincenzo Monti, Milan",5+,373m²,3+,Price on application,https://www.immobiliare.it/en/annunci/108231571/
496,"Apartment at auction via Ugo Pisa 8, Milan",3,02/21/2024,84m²,"from € 185,250.00",https://www.immobiliare.it/en/annunci/108236337/
497,"Penthouse via Giuseppe Ripamonti 227, Vigentino - Fatima, Milan",5+,375m²,3,"€ 1,380,000",https://www.immobiliare.it/en/annunci/108229785/
498,"2-room flat via della Martinella 5, Bisceglie, Milan",2,107m²,2,"€ 319,000",https://www.immobiliare.it/en/annunci/108221569/
499,"Studio via Pietro Toselli, Cimiano, Milan",1,35m²,1,"€ 120,000",https://www.immobiliare.it/en/annunci/108225803/
500,"3-room flat via Lampugnano 175, Trenno, Milan",3,88m²,1,"€ 310,000",https://www.immobiliare.it/en/annunci/108232525/
501,"4-room flat piazzale Gabrio Piola, Città Studi, Milan",4,168m²,2,"€ 1,380,000",https://www.immobiliare.it/en/annunci/108268583/
502,"2-room flat via Carlo Foldi 6, Cadore, Milan",2,64m²,1,"€ 480,000",https://www.immobiliare.it/en/annunci/108230739/
503,"3-room flat viale Edoardo Jenner 70, Dergano, Milan",3,155m²,2,"€ 680,000",https://www.immobiliare.it/en/annunci/108229297/
504,"Apartment via Michele Saponaro 18, Gratosoglio, Milan",,,,"€ 185,000",https://www.immobiliare.it/en/annunci/108225797/
505,"3-room flat via Plinio, Morgagni, Milan",3,140m²,1,"€ 950,000",https://www.immobiliare.it/en/annunci/108230129/
506,"2-room flat viale Monte Nero, Montenero, Milan",2,50m²,1,"€ 375,000",https://www.immobiliare.it/en/annunci/108233895/
507,"2-room flat via Marta Navarra Bernstein, 10, San Carlo, Milan",2,40m²,1,"€ 138,000",https://www.immobiliare.it/en/annunci/108216159/
508,"4-room flat via Vittoria Colonna 53, De Angeli, Milan",4,110m²,2,"€ 599,000",https://www.immobiliare.it/en/annunci/108226785/
509,"Apartment at auction via Privata Imola, Milan",3,72m²,1,"from € 150,000.00",https://www.immobiliare.it/en/annunci/108233251/
510,"2-room flat via Carlo Botta, Porta Romana - Medaglie d'Oro, Milan",2,40m²,1,"€ 225,000",https://www.immobiliare.it/en/annunci/108234033/
511,"2-room flat via Mac mahon 117, Bovisa, Milan",2,60m²,1,"€ 198,000",https://www.immobiliare.it/en/annunci/108220255/
512,"Apartment at auction via Carlo Crivelli 26, Milan",5+,01/30/2024,157m²,"from € 450,000.00",https://www.immobiliare.it/en/annunci/108234079/
513,"Studio via Santa Sofia, 12, Missori, Milan",1,35m²,1,"€ 370,000",https://www.immobiliare.it/en/annunci/108224313/
514,"Single family villa via Asiago, Gorla, Milan",4,200m²,3,"€ 980,000",https://www.immobiliare.it/en/annunci/108237375/
515,"4-room flat via Francesco Pizzi, 14, Ripamonti, Milan",4,115m²,2,"€ 790,000",https://www.immobiliare.it/en/annunci/108224061/
516,"3-room flat via Gaspare Rosales, Garibaldi - Corso Como, Milan",3,98m²,1,"€ 860,000",https://www.immobiliare.it/en/annunci/108226689/
517,"Apartment at auction via Nicostrato Castellini 9, Milan",3,01/31/2024,85m²,"from € 230,250.00",https://www.immobiliare.it/en/annunci/108234077/
518,"2-room flat via Legnano 10, Lanza, Milan",2,70m²,1,"€ 790,000",https://www.immobiliare.it/en/annunci/108227913/
519,"Apartment at auction via Carlo Imbonati 62/2, Milan",3,03/28/2024,117m²,"from € 628,500.00",https://www.immobiliare.it/en/annunci/108224237/
520,"Apartment at auction via Imola 17, Milan",3,02/06/2024,69m²,"from € 150,000.00",https://www.immobiliare.it/en/annunci/108221807/
521,"Penthouse - attic at auction via Carlo Imbonati 62/2, Milan",5,03/28/2024,370m²,"from € 2,081,250.00",https://www.immobiliare.it/en/annunci/108222037/
522,"Penthouse - attic at auction via Carlo Imbonati 62/2, Milan",5+,03/28/2024,352m²,"from € 2,081,250.00",https://www.immobiliare.it/en/annunci/108222429/
523,"Apartment at auction via Melchiorre Gioia 71, Milan",3,02/07/2024,74m²,"from € 225,000.00",https://www.immobiliare.it/en/annunci/108234081/
524,"Apartment at auction via Carlo Imbonati 62/2, Milan",3,03/28/2024,117m²,"from € 628,500.00",https://www.immobiliare.it/en/annunci/108223757/
525,"3-room flat excellent condition, sixth floor, Sempione, Milan",3,120m²,2,"€ 920,000",https://www.immobiliare.it/en/annunci/108220017/
526,"2-room flat via Angera, 3, Maggiolina, Milan",2,43m²,1,"€ 295,000",https://www.immobiliare.it/en/annunci/108256691/
527,"2-room flat via Angera, 3, Maggiolina, Milan",2,60m²,1,"€ 355,000",https://www.immobiliare.it/en/annunci/108256579/
528,"2-room flat via Angera, 3, Maggiolina, Milan",2,51m²,1,"€ 325,000",https://www.immobiliare.it/en/annunci/108256991/
529,"2-room flat via Angera, 3, Maggiolina, Milan",2,45m²,1,"€ 300,000",https://www.immobiliare.it/en/annunci/108256855/
530,"2-room flat via Angera, 3, Maggiolina, Milan",2,45m²,1,"€ 300,000",https://www.immobiliare.it/en/annunci/108256475/
531,"2-room flat via Angera, 3, Maggiolina, Milan",2,40m²,1,"€ 288,000",https://www.immobiliare.it/en/annunci/108256543/
532,"2-room flat via Angera, 3, Maggiolina, Milan",2,50m²,1,"€ 320,000",https://www.immobiliare.it/en/annunci/108257447/
533,"2-room flat via Morosini, Montenero, Milan",2,81m²,1,"€ 590,000",https://www.immobiliare.it/en/annunci/108215535/
534,"Apartment at auction via Civitali, 25, Milan",2,01/31/2024,43m²,"from € 42,000.00",https://www.immobiliare.it/en/annunci/108233349/
535,"4-room flat good condition, Gambara, Milan",4,91m²,2,"€ 365,000",https://www.immobiliare.it/en/annunci/108214883/
536,"3-room flat via Carlo Imbonati, Dergano, Milan",,,,"€ 315,750",https://www.immobiliare.it/en/annunci/108237413/
537,"Apartment viale lucania\, 9, Corvetto, Milan",,,,"€ 480,000",https://www.immobiliare.it/en/annunci/108230341/
538,"2-room flat via Matteo Civitali 46, San Siro, Milan",2,68m²,1,"€ 250,000",https://www.immobiliare.it/en/annunci/108221565/
539,"3-room flat via rembrandt 20, San Siro, Milan",3,90m²,1,"€ 439,000",https://www.immobiliare.it/en/annunci/108196603/
540,"2-room flat via Melzo 17, Porta Venezia, Milan",2,90m²,1,"€ 699,000",https://www.immobiliare.it/en/annunci/108193521/
541,"3-room flat via Val Bavona 3, Inganni, Milan",3,85m²,1,"€ 149,000",https://www.immobiliare.it/en/annunci/108193297/
542,"2-room flat via Alberto Nota 46, Bicocca, Milan",2,50m²,1,"€ 199,000",https://www.immobiliare.it/en/annunci/108200897/
543,"2-room flat via Matteo Civitali 46, San Siro, Milan",2,63m²,1,"€ 232,000",https://www.immobiliare.it/en/annunci/108221523/
544,"4-room flat via Carlo Dolci 16, San Siro, Milan",4,170m²,2,"€ 1,045,000",https://www.immobiliare.it/en/annunci/108202401/
545,"3-room flat via varesina 130, Certosa, Milan",3,95m²,1,"€ 355,000",https://www.immobiliare.it/en/annunci/108205667/
546,"4-room flat via Luigi De Andreis, Porta Vittoria, Milan",4,125m²,2,"€ 650,000",https://www.immobiliare.it/en/annunci/108196451/
547,"Studio piazza Lega Lombarda 5, Arena, Milan",1,30m²,1,"€ 300,000",https://www.immobiliare.it/en/annunci/108205041/
548,"3-room flat viale Ungheria 2, Viale Ungheria - Mecenate, Milan",3,80m²,1,"€ 280,000",https://www.immobiliare.it/en/annunci/108195545/
549,"2-room flat via Angelo Inganni 77, Inganni, Milan",2,52m²,1,"€ 209,000",https://www.immobiliare.it/en/annunci/108200773/
550,"3-room flat via Padova 236, Crescenzago, Milan",3,89m²,2,"€ 410,000",https://www.immobiliare.it/en/annunci/108220229/
551,"2-room flat via Matteo Civitali 46, San Siro, Milan",2,60m²,1,"€ 221,000",https://www.immobiliare.it/en/annunci/108221495/
552,"2-room flat via menabrea 12, Farini, Milan",2,46m²,1,"€ 220,000",https://www.immobiliare.it/en/annunci/108208521/
553,"2-room flat via menabrea 20, Farini, Milan",2,35m²,1,"€ 165,000",https://www.immobiliare.it/en/annunci/108207369/
554,"3-room flat via Carlo Dolci 16, San Siro, Milan",3,103m²,1,"€ 425,000",https://www.immobiliare.it/en/annunci/108207845/
555,"3-room flat via carlo farini 78, Farini, Milan",3,115m²,1,"€ 435,000",https://www.immobiliare.it/en/annunci/108209565/
556,"Apartment via Quadronno, Quadronno - Crocetta, Milan",5+,250m²,3,"€ 1,830,000",https://www.immobiliare.it/en/annunci/108199463/
557,"2-room flat via Giambellino 34, Giambellino, Milan",2,50m²,1,"€ 245,000",https://www.immobiliare.it/en/annunci/108270529/
558,"2-room flat via delle Primule 9, Lorenteggio, Milan",2,40m²,1,"€ 210,000",https://www.immobiliare.it/en/annunci/108200473/
559,"2-room flat via Alessandro Volta 21, Moscova, Milan",2,79m²,1,"€ 590,000",https://www.immobiliare.it/en/annunci/108209053/
560,"4-room flat via Giovanni Battista Pergolesi 26, Centrale, Milan",4,150m²,2,"€ 699,000",https://www.immobiliare.it/en/annunci/108208239/
561,"3-room flat corso Concordia 2, Piave - Tricolore, Milan",3,90m²,2,"€ 760,000",https://www.immobiliare.it/en/annunci/108197913/
562,"3-room flat via Luigi Mancinelli 15, Casoretto, Milan",3,77m²,1,"€ 357,000",https://www.immobiliare.it/en/annunci/108208113/
563,"Apartment at auction viale Imbonati , 62, Milan",3,57m²,20,"from € 328,500.00",https://www.immobiliare.it/en/annunci/108212061/
564,"Apartment at auction via Carlo Imbonati, 62, Milan",3,57m²,19,"from € 315,750.00",https://www.immobiliare.it/en/annunci/108212427/
565,"Apartment at auction viale Imbonati , 62, Milan",5,119m²,19,"from € 619,500.00",https://www.immobiliare.it/en/annunci/108212435/
566,"4-room flat via Carlo Boncompagni 68, Rogoredo, Milan",4,148m²,2,"€ 460,000",https://www.immobiliare.it/en/annunci/108198065/
567,"2-room flat via Vittoria Colonna, Amendola - Buonarroti, Milan",2,91m²,1,"€ 590,000",https://www.immobiliare.it/en/annunci/108205579/
568,"2-room flat viale Molise, Martini - Insubria, Milan",2,70m²,1,"€ 320,000",https://www.immobiliare.it/en/annunci/108196373/
569,"4-room flat via Novara 5, Piazzale Siena, Milan",4,130m²,2,"€ 465,000",https://www.immobiliare.it/en/annunci/108199855/
570,"2-room flat via Leone Tolstoj, Piazza Napoli, Milan",2,42m²,1,"€ 259,000",https://www.immobiliare.it/en/annunci/108193583/
571,"2-room flat via Monte Cimone, Bologna - Sulmona, Milan",2,70m²,1,"€ 320,000",https://www.immobiliare.it/en/annunci/108194597/
572,"Penthouse via Mario Morgantini, San Siro, Milan",4,196m²,2,"€ 945,000",https://www.immobiliare.it/en/annunci/108209857/
573,"2-room flat viale Famagosta 19, Famagosta, Milan",2,80m²,1,"€ 250,000",https://www.immobiliare.it/en/annunci/108194275/
574,"3-room flat via Muggiano 6, Muggiano, Milan",3,85m²,2,"€ 325,000",https://www.immobiliare.it/en/annunci/108200529/
575,"3-room flat via Giuseppe Codara 1, Navigli - Darsena, Milan",3,80m²,1,"€ 460,000",https://www.immobiliare.it/en/annunci/108201055/
576,"3-room flat via Giovanni Antonio Plana 29, Ghisolfa - Mac Mahon, Milan",3,78m²,1,"€ 305,000",https://www.immobiliare.it/en/annunci/108202801/
577,"3-room flat via Carlo Espinasse 34, Certosa, Milan",3,80m²,1,"€ 180,000",https://www.immobiliare.it/en/annunci/108210447/
578,"Loft via Lodovico Muratori 55, Porta Romana - Medaglie d'Oro, Milan",2,51m²,1,"€ 295,000",https://www.immobiliare.it/en/annunci/108207411/
579,"2-room flat via Giovanni Antonio Plana 23, Ghisolfa - Mac Mahon, Milan",2,74m²,1,"€ 269,000",https://www.immobiliare.it/en/annunci/108205539/
580,"3-room flat viale sarca 322, Bignami - Ponale, Milan",3,100m²,2,"€ 475,000",https://www.immobiliare.it/en/annunci/108196499/
581,"Apartment via Plinio, Morgagni, Milan",5+,230m²,3,"€ 1,480,000",https://www.immobiliare.it/en/annunci/108202839/
582,"2-room flat via Ronchi, Udine, Milan",2,60m²,1,"€ 293,000",https://www.immobiliare.it/en/annunci/108196613/
583,"3-room flat via Mac Mahon 119, Bovisa, Milan",3,52m²,1,"€ 225,000",https://www.immobiliare.it/en/annunci/108201541/
584,"3-room flat via Riva di Trento 17A, Corvetto, Milan",3,124m²,2,"€ 695,000",https://www.immobiliare.it/en/annunci/108207275/
585,"2-room flat via Vigevano, Navigli - Darsena, Milan",2,51m²,1,"€ 370,000",https://www.immobiliare.it/en/annunci/108194119/
586,"3-room flat via Alberto Nota 22, Bicocca, Milan",3,102m²,2,"€ 448,000",https://www.immobiliare.it/en/annunci/108202625/
587,"2-room flat via Alberto Nota 22, Bicocca, Milan",2,51m²,1,"€ 289,000",https://www.immobiliare.it/en/annunci/108205017/
588,"2-room flat via Giuseppe Candiani 114, Bovisa, Milan",2,50m²,1,"€ 205,000",https://www.immobiliare.it/en/annunci/108195341/
589,"Apartment via Riva di Trento 17A, Corvetto, Milan",5,118m²,1,"€ 745,000",https://www.immobiliare.it/en/annunci/108206137/
590,"3-room flat via Arezzo 10, Bignami - Ponale, Milan",3,72m²,1,"€ 270,000",https://www.immobiliare.it/en/annunci/108188793/
591,"Loft via Vespri Siciliani 16, Piazza Napoli, Milan",3,80m²,1,"€ 345,000",https://www.immobiliare.it/en/annunci/108200063/
592,"2-room flat via Melchiorre Gioia 41, Melchiorre Gioia, Milan",2,40m²,1,"€ 315,000",https://www.immobiliare.it/en/annunci/108199555/
593,"2-room flat via Valassina 45, Dergano, Milan",2,65m²,1,"€ 218,000",https://www.immobiliare.it/en/annunci/108192805/
594,"Apartment at auction via Carlo Imbonati 62/2, Milan",2,03/28/2024,57m²,"from € 328,490.00",https://www.immobiliare.it/en/annunci/108193629/
595,"2-room flat viale Famagosta 40, Famagosta, Milan",2,50m²,1,"€ 225,000",https://www.immobiliare.it/en/annunci/108206741/
596,"Apartment at auction via Carlo Imbonati 62/2, Milan",3,04/05/2024,119m²,"from € 619,490.00",https://www.immobiliare.it/en/annunci/108194307/
597,"3-room flat piazza Napoli 20, Piazza Napoli, Milan",3,79m²,2,"€ 475,000",https://www.immobiliare.it/en/annunci/108210405/
598,"Apartment via Riva di Trento 17A, Corvetto, Milan",5+,255m²,3,"€ 1,390,000",https://www.immobiliare.it/en/annunci/108198117/
599,"2-room flat via Rogoredo 115, Santa Giulia, Milan",2,40m²,1,"€ 125,000",https://www.immobiliare.it/en/annunci/108207145/
600,"2-room flat via Rimini 30, Famagosta, Milan",2,68m²,1,"€ 400,000",https://www.immobiliare.it/en/annunci/108210079/
601,"3-room flat via Luigi Frapolli 27, Argonne - Corsica, Milan",3,128m²,1,"€ 700,000",https://www.immobiliare.it/en/annunci/108203039/
602,"3-room flat via Paolo Maspero 51, Molise - Cuoco, Milan",3,85m²,1,"€ 299,000",https://www.immobiliare.it/en/annunci/108195623/
603,"2-room flat via Bernardino Verro 45, Ripamonti, Milan",2,50m²,1,"€ 289,000",https://www.immobiliare.it/en/annunci/108199567/
604,"Building via Mario Pagano, Pagano, Milan",,,,"€ 8,000,000",https://www.immobiliare.it/en/annunci/108194497/
605,"Apartment at auction via Niccolò Jommelli , 46, Milan",2,112m²,B,"from € 142,200.00",https://www.immobiliare.it/en/annunci/108212167/
606,"4-room flat corso di Porta Romana 46, Missori, Milan",4,147m²,3,"€ 1,950,000",https://www.immobiliare.it/en/annunci/108200531/
607,"2-room flat via Palmanova, Cimiano, Milan",2,68m²,1,"€ 265,000",https://www.immobiliare.it/en/annunci/108195931/
608,"4-room flat via Sassoferrato 2, Porta Romana - Medaglie d'Oro, Milan",4,110m²,2,"€ 695,000",https://www.immobiliare.it/en/annunci/108200877/
609,"Penthouse excellent condition, 151 m², Ripamonti, Milan",3,151m²,2,"€ 1,100,000",https://www.immobiliare.it/en/annunci/108209695/
610,"Apartment at auction via Ornato, 18, Milan",3,56m²,G,"from € 57,000.00",https://www.immobiliare.it/en/annunci/108206179/
611,"Apartment at auction via privata Imola , 17, Milan",3,71m²,4,"from € 150,000.00",https://www.immobiliare.it/en/annunci/108206117/
612,"3-room flat via Taormina 27, Istria, Milan",3,85m²,1,"€ 358,000",https://www.immobiliare.it/en/annunci/108199667/
613,"3-room flat via Flumendosa 34, Crescenzago, Milan",3,71m²,1,"€ 250,000",https://www.immobiliare.it/en/annunci/108209205/
614,"4-room flat via Tommaso da Cazzaniga, Moscova, Milan",4,200m²,3,"€ 2,300,000",https://www.immobiliare.it/en/annunci/108196771/
615,"Apartment at auction via Carlo Imbonati 62/2, Milan",2,03/28/2024,57m²,"from € 315,750.00",https://www.immobiliare.it/en/annunci/108199561/
616,"Apartment at auction via Carlo Imbonati 62/2, Milan",3,04/05/2024,117m²,"from € 619,500.00",https://www.immobiliare.it/en/annunci/108205657/
617,"4-room flat via Plinio 5, Buenos Aires, Milan",4,150m²,3,"€ 910,000",https://www.immobiliare.it/en/annunci/108194603/
618,New construction Apartments in Milan,3 - 5+,118m²,4,"from € 645,000",https://www.immobiliare.it/en/annunci/108208723/
619,"2-room flat via Giovanni Battista Sammartini 37, Centrale, Milan",2,56m²,1,"€ 246,400",https://www.immobiliare.it/en/annunci/108206959/
620,"2-room flat via Angelo della Pergola, Isola, Milan",2,65m²,1,"€ 498,000",https://www.immobiliare.it/en/annunci/108196691/
621,"Apartment via teodosio, Città Studi, Milan",5+,145m²,2,"€ 670,000",https://www.immobiliare.it/en/annunci/108199775/
622,"2-room flat via Crema 29, Porta Romana - Medaglie d'Oro, Milan",2,70m²,2,"€ 600,000",https://www.immobiliare.it/en/annunci/108210285/
623,"3-room flat via Padre Reginaldo Giuliani 10A, Greco - Segnano, Milan",3,65m²,1,"€ 275,000",https://www.immobiliare.it/en/annunci/108206697/
624,"Apartment via Vallazze, Città Studi, Milan",5+,182m²,2,"€ 730,000",https://www.immobiliare.it/en/annunci/108200101/
625,"Studio via Bernardino Verro 62, Vigentino - Fatima, Milan",1,41m²,1,"€ 138,000",https://www.immobiliare.it/en/annunci/108199861/
626,"Loft via Ampere, Casoretto, Milan",2,50m²,1,"€ 269,000",https://www.immobiliare.it/en/annunci/108200511/
627,"2-room flat via Carlo Botta 39, Porta Romana - Medaglie d'Oro, Milan",2,68m²,1,"€ 399,000",https://www.immobiliare.it/en/annunci/108292855/
628,"2-room flat via Carlo Imbonati, Dergano, Milan",2,62m²,1,"€ 290,000",https://www.immobiliare.it/en/annunci/108195099/
629,"3-room flat via Filippo Palizzi 121, Quarto Oggiaro, Milan",3,117m²,2,"€ 259,000",https://www.immobiliare.it/en/annunci/108196571/
630,"4-room flat via Montalbino, Istria, Milan",4,200m²,2,"€ 870,000",https://www.immobiliare.it/en/annunci/108291935/
631,"2-room flat via Pietro da Cemmo 1, Ghisolfa - Mac Mahon, Milan",2,50m²,1,"€ 198,000",https://www.immobiliare.it/en/annunci/108211651/
632,"Penthouse - attic at auction via Carlo Imbonati 62/2, Milan",,,,"from € 2,081,250.00",https://www.immobiliare.it/en/annunci/108206797/
633,"3-room flat via Uberto Visconti Di Modrone, Palestro, Milan",3,85m²,1,"€ 729,000",https://www.immobiliare.it/en/annunci/108291685/
634,"2-room flat via Arquà 21, Parco Trotter, Milan",2,50m²,1,"€ 210,000",https://www.immobiliare.it/en/annunci/108205851/
635,"2-room flat via Paolo Lomazzo 59, Sempione, Milan",2,55m²,1,"€ 399,000",https://www.immobiliare.it/en/annunci/108207739/
636,"4-room flat via Carlo Pisacane, Indipendenza, Milan",4,120m²,1,"€ 729,000",https://www.immobiliare.it/en/annunci/108194673/
637,"2-room flat via Giuseppe Ripamonti, Ripamonti, Milan",2,77m²,1,"€ 420,000",https://www.immobiliare.it/en/annunci/108222299/
638,"2-room flat via Giuseppe Ripamonti, Ripamonti, Milan",2,61m²,1,"€ 345,000",https://www.immobiliare.it/en/annunci/108222073/
639,"3-room flat via Giuseppe Ripamonti, Ripamonti, Milan",3,108m²,2,"€ 575,000",https://www.immobiliare.it/en/annunci/108221955/
640,"2-room flat via Giuseppe Ripamonti, Ripamonti, Milan",2,68m²,1,"€ 375,000",https://www.immobiliare.it/en/annunci/108221761/
641,"2-room flat via Giuseppe Ripamonti, Ripamonti, Milan",2,77m²,1,"€ 430,000",https://www.immobiliare.it/en/annunci/108221517/
642,"2-room flat via Giuseppe Ripamonti, Ripamonti, Milan",2,67m²,1,"€ 370,000",https://www.immobiliare.it/en/annunci/108199715/
643,"2-room flat via Carlo Torre, 22, Navigli - Darsena, Milan",2,55m²,1,"€ 285,000",https://www.immobiliare.it/en/annunci/108199739/
644,"2-room flat via Padova 308, Crescenzago, Milan",2,59m²,1,"€ 149,000",https://www.immobiliare.it/en/annunci/108194473/
645,"Studio via San Dionigi 4, Corvetto, Milan",1,15m²,1,"€ 98,000",https://www.immobiliare.it/en/annunci/108205347/
646,"3-room flat piazzale Loreto 1, Buenos Aires, Milan",3,143m²,2,"€ 1,100,000",https://www.immobiliare.it/en/annunci/108200031/
647,"Apartment via Trebazio 6., Sempione, Milan",5,180m²,2,"€ 1,200,000",https://www.immobiliare.it/en/annunci/108193199/
648,"2-room flat via Paolo Lomazzo 59, Sempione, Milan",2,60m²,1,"€ 419,000",https://www.immobiliare.it/en/annunci/108207649/
649,"Apartment via Privata Paolo Rotta, Niguarda, Milan",90m²,1,SB,"€ 180,000",https://www.immobiliare.it/en/annunci/108206809/
650,"Studio via Rembrandt 20, San Siro, Milan",1,43m²,1,"€ 194,000",https://www.immobiliare.it/en/annunci/108205691/
651,"2-room flat via Ronchi, Udine, Milan",2,60m²,1,"€ 293,000",https://www.immobiliare.it/en/annunci/108192509/
652,"2-room flat largo Promessi Sposi, Cantalupa - San Paolo, Milan",2,70m²,1,"€ 245,000",https://www.immobiliare.it/en/annunci/108192739/
653,"3-room flat via Jacopo Palma 28, Gambara, Milan",3,91m²,2,"€ 365,000",https://www.immobiliare.it/en/annunci/108192337/
654,"Open space, excellent condition, ground floor, Arco della Pace, Milan",1,51m²,1,"€ 440,000",https://www.immobiliare.it/en/annunci/108192585/
655,"2-room flat via giovanni pastorelli, 4, Navigli - Darsena, Milan",2,40m²,1,"€ 320,000",https://www.immobiliare.it/en/annunci/108204239/
656,"3-room flat via Giulio Dardanoni 10, Lambrate, Milan",3,80m²,1,"€ 440,000",https://www.immobiliare.it/en/annunci/108206763/
657,"Building via Pier Alessandro Paravia 71, San Siro, Milan",5+,720m²,3+,"€ 1,900,000",https://www.immobiliare.it/en/annunci/108193013/
