,description,rooms,m2,bathrooms,price,links
45,"Apartment via Luigi Ornato, Niguarda, Milan",5,75m²,1,Price on application,https://www.immobiliare.it/en/annunci/108315825/
46,"3-room flat via Romolo Gessi 72, Washington, Milan",3,93m²,1,"€ 440,000",https://www.immobiliare.it/en/annunci/108316399/
47,"Studio via Carlo Maderno 5, Ascanio Sforza, Milan",1,35m²,1,"€ 268,000",https://www.immobiliare.it/en/annunci/108318187/
48,"3-room flat excellent condition, Bruzzano, Milan",3,63m²,1,"€ 240,000",https://www.immobiliare.it/en/annunci/108321049/
49,"Apartment at auction via Carlo Imbonati 62/2, Milan",2,03/28/2024,57m²,"from € 328,500.00",https://www.immobiliare.it/en/annunci/108322871/
50,"2-room flat good condition, ground floor, Greco - Segnano, Milan",2,30m²,1,Price on application,https://www.immobiliare.it/en/annunci/108314675/
51,"3-room flat via Ettore Ponti 32, Barona, Milan",3,78m²,1,"€ 289,000",https://www.immobiliare.it/en/annunci/108318681/
52,"3-room flat via Dora Riparia 18, Bruzzano, Milan",3,129m²,2,"€ 275,000",https://www.immobiliare.it/en/annunci/108315233/
53,"Apartment via Carlo Crivelli, Quadronno - Crocetta, Milan",5+,144m²,3,"€ 1,400,000",https://www.immobiliare.it/en/annunci/108316929/
54,"4-room flat via Gustavo Modena, Indipendenza, Milan",4,130m²,2,"€ 1,190,000",https://www.immobiliare.it/en/annunci/108317567/
55,"3-room flat via Carlo Imbonati, Dergano, Milan",,,,"€ 315,753",https://www.immobiliare.it/en/annunci/108323777/
56,"4-room flat via Cesare Brivio, Dergano, Milan",,,,"€ 92,623",https://www.immobiliare.it/en/annunci/108323815/
57,"Apartment at auction viale Imbonati, 62, Milan",5+,03/28/2024,352m²,"from € 2,081,250.00",https://www.immobiliare.it/en/annunci/108323431/
58,"Apartment at auction via Carlo Imbonati, 11, Milan",,,,"from € 52,500.00",https://www.immobiliare.it/en/annunci/108323465/
59,"Apartment at auction via Ugo Pisa, 8, Milan",5,02/28/2024,84m²,"from € 185,250.00",https://www.immobiliare.it/en/annunci/108323339/
60,"Apartment at auction via Privata Bastia, 6, Milan",,,,"from € 213,750.00",https://www.immobiliare.it/en/annunci/108323463/
61,"Apartment at auction via Cesare Brivio , 15, Milan",4,03/13/2024,47m²,"from € 92,625.00",https://www.immobiliare.it/en/annunci/108323341/
62,"Building at auction via Cascina Bianca, 6, Milan",5,02/28/2024,93m²,"from € 176,250.00",https://www.immobiliare.it/en/annunci/108323359/
63,"Apartment at auction via Bastia, 6, Milan",4,02/28/2024,70m²,"from € 213,750.00",https://www.immobiliare.it/en/annunci/108323361/
64,"Apartment at auction via Carlo Imbonati, 11, Milan",3,03/05/2024,57m²,"from € 52,500.00",https://www.immobiliare.it/en/annunci/108323365/
65,"Apartment 280 m², Milan",,,,"€ 3,000,000",https://www.immobiliare.it/en/annunci/108316277/
66,"4-room flat via DEI BOGNETTI  9, Pezzotti - Meda, Milan",4,130m²,2,"€ 420,000",https://www.immobiliare.it/en/annunci/108311569/
67,"2-room flat via Matteo Civitali 46, San Siro, Milan",2,68m²,1,"€ 250,000",https://www.immobiliare.it/en/annunci/108317347/
68,"2-room flat via Matteo Civitali 46, San Siro, Milan",2,63m²,1,"€ 219,000",https://www.immobiliare.it/en/annunci/108317335/
69,"Apartment at auction via Carlo Imbonati 62/2, Milan",2,04/05/2024,52m²,"from € 314,990.00",https://www.immobiliare.it/en/annunci/108309497/
70,"2-room flat via Privata Bassano del Grappa, 17, Parco Trotter, Milan",2,55m²,1,"€ 219,000",https://www.immobiliare.it/en/annunci/108306625/
71,"Apartment via Cardinale Giovanni Cagliero, Maggiolina, Milan",5+,200m²,2,"€ 970,000",https://www.immobiliare.it/en/annunci/108311187/
72,"2-room flat via San Gregorio 17, Buenos Aires, Milan",2,45m²,1,"€ 298,000",https://www.immobiliare.it/en/annunci/108303997/
73,"3-room flat via Ostiglia 2, Plebisciti - Susa, Milan",3,65m²,1,"€ 320,000",https://www.immobiliare.it/en/annunci/108296657/
74,"2-room flat via Ostiglia 2, Plebisciti - Susa, Milan",2,60m²,1,"€ 280,000",https://www.immobiliare.it/en/annunci/108296679/
75,"2-room flat viale Cassala 1, Navigli - Darsena, Milan",2,68m²,1,"€ 259,000",https://www.immobiliare.it/en/annunci/108296779/
76,"2-room flat via Gaetano Crespi 11, Rubattino, Milan",2,47m²,1,"€ 312,000",https://www.immobiliare.it/en/annunci/108299985/
77,"Apartment via Giuseppe Frua, Frua, Milan",5+,213m²,3,"€ 1,635,000",https://www.immobiliare.it/en/annunci/108299909/
78,"2-room flat via Luigi Prinetti 36, Cimiano, Milan",2,95m²,1,"€ 399,000",https://www.immobiliare.it/en/annunci/108300037/
79,"Studio via Carlo Boncompagni, Rogoredo, Milan",1,60m²,1,"€ 235,000",https://www.immobiliare.it/en/annunci/108296007/
80,"3-room flat via Monte Rotondo 8, Niguarda, Milan",3,71m²,1,"€ 225,000",https://www.immobiliare.it/en/annunci/108291781/
81,"2-room flat piazza Giustino Fortunato, Bruzzano, Milan",2,66m²,1,"€ 215,000",https://www.immobiliare.it/en/annunci/108283987/
82,"2-room flat via Arnolfo di Cambio, Paolo Sarpi, Milan",2,45m²,1,"€ 295,000",https://www.immobiliare.it/en/annunci/108295069/
83,"4-room flat via Cardinale Giovanni Cagliero 3, Maggiolina, Milan",4,123m²,2,"€ 675,000",https://www.immobiliare.it/en/annunci/108292071/
84,"3-room flat via Ostiglia 2, Plebisciti - Susa, Milan",3,102m²,1,"€ 370,000",https://www.immobiliare.it/en/annunci/108296677/
85,"2-room flat via Crescenzago, Quartiere Feltre, Milan",2,55m²,1,"€ 178,000",https://www.immobiliare.it/en/annunci/108292899/
86,"2-room flat via Ferrante Aporti 12, Centrale, Milan",2,60m²,1,"€ 279,000",https://www.immobiliare.it/en/annunci/108292553/
87,"Apartment at auction via Carlo Imbonati 62/2, Milan",2,04/05/2024,57m²,"from € 315,000.00",https://www.immobiliare.it/en/annunci/108295171/
88,"Apartment at auction via Cesare Brivio 15, Milan",2,03/13/2024,47m²,"from € 92,625.00",https://www.immobiliare.it/en/annunci/108295043/
89,"Apartment at auction via Carlo Imbonati 62/2, Milan",3,04/05/2024,117m²,"from € 607,500.00",https://www.immobiliare.it/en/annunci/108295125/
90,"3-room flat via LAURANA, Istria, Milan",3,90m²,1,"€ 412,000",https://www.immobiliare.it/en/annunci/108293021/
91,"Studio via Venini Giulio e Corrado 59, Pasteur, Milan",1,14m²,1,"€ 84,000",https://www.immobiliare.it/en/annunci/108292887/
92,"3-room flat via Montalbino, Istria, Milan",3,140m²,2,"€ 820,000",https://www.immobiliare.it/en/annunci/108291753/
93,"2-room flat via Eugenio Carpi 11, Casoretto, Milan",2,50m²,1,"€ 248,000",https://www.immobiliare.it/en/annunci/108294749/
94,"3-room flat via Romeo Frassinetti, San Siro, Milan",3,86m²,1,"€ 432,000",https://www.immobiliare.it/en/annunci/108292111/
95,"2-room flat via Romeo Frassinetti, San Siro, Milan",2,67m²,1,"€ 336,000",https://www.immobiliare.it/en/annunci/108292121/
96,"3-room flat via Giovanni Ansaldo, Bignami - Ponale, Milan",3,90m²,1,"€ 399,000",https://www.immobiliare.it/en/annunci/108291915/
97,"2-room flat via Antonio Pianella, San Siro, Milan",2,65m²,1,"€ 269,000",https://www.immobiliare.it/en/annunci/108292659/
98,"2-room flat via Antonio Pianella, San Siro, Milan",2,61m²,1,"€ 275,000",https://www.immobiliare.it/en/annunci/108292499/
99,"2-room flat via Antonio Pianella, San Siro, Milan",2,75m²,1,"€ 335,000",https://www.immobiliare.it/en/annunci/108292729/
100,"2-room flat via Carlo Botta 39, Porta Romana - Medaglie d'Oro, Milan",2,68m²,1,"€ 399,000",https://www.immobiliare.it/en/annunci/108292879/
101,"Apartment at auction via Antonio Aldini 15, Milan",,,,"from € 126,000.00",https://www.immobiliare.it/en/annunci/108293311/
102,"Apartment at auction viale Imbonati , 62/2, Milan",2,57m²,19,"from € 315,750.00",https://www.immobiliare.it/en/annunci/108285305/
103,"Apartment at auction viale Imbonati , 62/2, Milan",3,117m²,18,"from € 607,500.00",https://www.immobiliare.it/en/annunci/108285301/
104,"Apartment at auction viale Imbonati , 62/2, Milan",3,118m²,19,"from € 619,500.00",https://www.immobiliare.it/en/annunci/108285303/
105,"Apartment good condition, first floor, Solari, Milan",5,180m²,3,"€ 950,000",https://www.immobiliare.it/en/annunci/108293849/
106,"Apartment at auction viale Imbonati , 62/2, Milan",2,57m²,18,"from € 315,000.00",https://www.immobiliare.it/en/annunci/108285299/
107,"Apartment at auction viale Imbonati , 62/2, Milan",5,352m²,24,"from € 2,081,250.00",https://www.immobiliare.it/en/annunci/108285297/
108,"Apartment at auction viale Imbonati ,  62/2, Milan",2,04/05/2024,50m²,"from € 315,000.00",https://www.immobiliare.it/en/annunci/108295331/
109,"Apartment at auction viale Imbonati, 62/2, Milan",3,04/05/2024,107m²,"from € 607,500.00",https://www.immobiliare.it/en/annunci/108295335/
110,"Apartment at auction via Bernardino De Conti, 6, Milan",2,02/27/2024,45m²,"from € 201,291.00",https://www.immobiliare.it/en/annunci/108295345/
111,"3-room flat excellent condition, first floor, Washington, Milan",3,"1,202m²",1,"€ 690,000",https://www.immobiliare.it/en/annunci/108292885/
112,"Apartment via Siracusa 2, Quadronno - Crocetta, Milan",5,274m²,3+,"€ 2,330,000",https://www.immobiliare.it/en/annunci/108274069/
113,"Studio via Sebino 15, Martini - Insubria, Milan",1,37m²,1,"€ 178,000",https://www.immobiliare.it/en/annunci/108271565/
114,"2-room flat via Leone Tolstoj 45, Giambellino, Milan",2,65m²,1,"€ 369,000",https://www.immobiliare.it/en/annunci/108268489/
115,"3-room flat piazza Greco 7, Greco - Segnano, Milan",3,93m²,1,"€ 345,000",https://www.immobiliare.it/en/annunci/108278339/
116,"2-room flat via dei Guarneri 24, Vigentino - Fatima, Milan",2,71m²,1,"€ 235,000",https://www.immobiliare.it/en/annunci/108279917/
117,"4-room flat via Val di Sole 12, Vigentino - Fatima, Milan",4,120m²,2,"€ 445,000",https://www.immobiliare.it/en/annunci/108277059/
118,"2-room flat via Giuseppe Ripamonti 194, Vigentino - Fatima, Milan",2,68m²,1,"€ 249,000",https://www.immobiliare.it/en/annunci/108278583/
119,"4-room flat via Fryderyk Chopin 48, Vigentino - Fatima, Milan",4,145m²,2,"€ 380,000",https://www.immobiliare.it/en/annunci/108279255/
120,"Apartment via Giuseppe Ripamonti 227, Vigentino - Fatima, Milan",5,150m²,2,"€ 699,000",https://www.immobiliare.it/en/annunci/108280141/
121,"3-room flat via Ermanno Wolf-Ferrari 7, Vigentino - Fatima, Milan",3,135m²,2,"€ 459,000",https://www.immobiliare.it/en/annunci/108277343/
122,"3-room flat via dei Guarneri 24, Vigentino - Fatima, Milan",3,80m²,1,"€ 250,000",https://www.immobiliare.it/en/annunci/108277669/
123,"4-room flat via Giuseppe Ripamonti 213, Vigentino - Fatima, Milan",4,140m²,2,"€ 299,000",https://www.immobiliare.it/en/annunci/108271497/
124,"4-room flat piazza Piero Gobetti 2, Città Studi, Milan",4,102m²,2,"€ 459,000",https://www.immobiliare.it/en/annunci/108273459/
125,"2-room flat via Monfalcone 23, Cimiano, Milan",2,41m²,1,"€ 220,000",https://www.immobiliare.it/en/annunci/108279461/
126,"3-room flat via Bruno Cesana 6, Cimiano, Milan",3,95m²,1,"€ 450,000",https://www.immobiliare.it/en/annunci/108269365/
127,"4-room flat via Marco Cremosano 4, QT8, Milan",4,110m²,2,"€ 760,000",https://www.immobiliare.it/en/annunci/108270329/
128,"3-room flat corso Buenos Aires 77, Buenos Aires, Milan",3,82m²,2,"€ 520,000",https://www.immobiliare.it/en/annunci/108281657/
129,"3-room flat via Francesco Viganò 8, Garibaldi - Corso Como, Milan",3,80m²,2,"€ 755,000",https://www.immobiliare.it/en/annunci/108274599/
130,"Apartment at auction via Ugo Pisa, 8, Milan",5+,02/28/2024,88m²,"from € 185,250.00",https://www.immobiliare.it/en/annunci/108282345/
131,"Apartment at auction via Padova, 213, Milan",5+,02/13/2024,75m²,"from € 140,250.00",https://www.immobiliare.it/en/annunci/108281867/
132,"Apartment at auction via Caltagirone, 12, Milan",5+,02/01/2024,53m²,"from € 43,000.00",https://www.immobiliare.it/en/annunci/108281247/
133,"Apartment at auction via Privata Imola, 17, Milan",5,02/06/2024,69m²,"from € 150,000.00",https://www.immobiliare.it/en/annunci/108281485/
134,"3-room flat via Arquà 16, Parco Trotter, Milan",3,100m²,1,"€ 369,000",https://www.immobiliare.it/en/annunci/108270905/
135,"3-room flat via Melchiorre Gioia 41/A, Melchiorre Gioia, Milan",3,102m²,1,"€ 620,000",https://www.immobiliare.it/en/annunci/108274281/
136,"4-room flat via Pinturicchio 5, Città Studi, Milan",4,165m²,3,"€ 1,090,000",https://www.immobiliare.it/en/annunci/108277961/
137,"3-room flat viale Fulvio Testi 218, Bicocca, Milan",3,86m²,1,"€ 358,000",https://www.immobiliare.it/en/annunci/108277487/
138,"3-room flat via Sesto San Giovanni 31, Bicocca, Milan",3,96m²,2,"€ 448,000",https://www.immobiliare.it/en/annunci/108279799/
139,"Studio via Sebino 17, Martini - Insubria, Milan",1,30m²,1,"€ 185,000",https://www.immobiliare.it/en/annunci/108273471/
140,"2-room flat via Avancinio Avancini 26, Chiesa Rossa, Milan",2,75m²,1,"€ 280,000",https://www.immobiliare.it/en/annunci/108270175/
141,"3-room flat via George Washington, Washington, Milan",3,200m²,2,"€ 869,000",https://www.immobiliare.it/en/annunci/108280831/
142,"2-room flat via Leone Tolstoj, Piazza Napoli, Milan",2,83m²,1,"€ 360,000",https://www.immobiliare.it/en/annunci/108269295/
143,"2-room flat piazza Umanitaria 2, Guastalla, Milan",2,76m²,1,"€ 750,000",https://www.immobiliare.it/en/annunci/108271181/
144,"3-room flat via Schiavoni 4, Famagosta, Milan",3,80m²,1,"€ 275,000",https://www.immobiliare.it/en/annunci/108263755/
145,"4-room flat via Bruno Cassinari 6, Santa Giulia, Milan",4,123m²,2,"€ 565,000",https://www.immobiliare.it/en/annunci/108275791/
146,"2-room flat via Privata Metauro 12, Giambellino, Milan",2,83m²,1,"€ 360,000",https://www.immobiliare.it/en/annunci/108269171/
147,"Penthouse via Angelo Fava, Maggiolina, Milan",4,202m²,2,"€ 1,420,000",https://www.immobiliare.it/en/annunci/108280675/
148,"3-room flat via Pistrucci 11, Martini - Insubria, Milan",3,101m²,1,"€ 499,000",https://www.immobiliare.it/en/annunci/108274351/
149,"Terraced house via San Giusto 28, San Siro, Milan",5+,170m²,3,"€ 680,000",https://www.immobiliare.it/en/annunci/108269727/
150,"3-room flat via Bernardino Verro 43, Ripamonti, Milan",3,120m²,1,"€ 628,000",https://www.immobiliare.it/en/annunci/108283017/
151,"Apartment at auction via Cesare Brivio 15, Milan",2,03/13/2024,47m²,"from € 92,615.00",https://www.immobiliare.it/en/annunci/108273483/
152,"3-room flat via Pompeo Cambiasi 8, Casoretto, Milan",3,45m²,1,"€ 229,000",https://www.immobiliare.it/en/annunci/108271795/
153,"Loft via Nino Bixio 10, Piave - Tricolore, Milan",4,110m²,3,"€ 710,000",https://www.immobiliare.it/en/annunci/108277075/
154,"3-room flat viale Carlo Espinasse, 76, Certosa, Milan",3,70m²,1,"€ 249,000",https://www.immobiliare.it/en/annunci/108263533/
155,"Apartment via Ponte Vetero, Cadorna - Castello, Milan",5+,252m²,3+,"€ 2,900,000",https://www.immobiliare.it/en/annunci/108268947/
156,"3-room flat via Luigi Alamanni 18, Vigentino - Fatima, Milan",3,110m²,2,"€ 480,000",https://www.immobiliare.it/en/annunci/108271227/
157,"3-room flat via Ajaccio 1, Città Studi, Milan",3,95m²,2,"€ 530,000",https://www.immobiliare.it/en/annunci/108271335/
158,"Penthouse via Fryderyk Chopin 70, Vigentino - Fatima, Milan",4,140m²,2,"€ 720,000",https://www.immobiliare.it/en/annunci/108274335/
159,"Penthouse via Fryderyk Chopin 70, Vigentino - Fatima, Milan",4,140m²,2,"€ 720,000",https://www.immobiliare.it/en/annunci/108271933/
160,"4-room flat piazza angilberto 2/B, Corvetto, Milan",4,120m²,2,"€ 229,000",https://www.immobiliare.it/en/annunci/108274313/
161,"2-room flat via Ugo Tognazzi 15, Quartiere Adriano, Milan",2,70m²,1,"€ 269,000",https://www.immobiliare.it/en/annunci/108277341/
162,"2-room flat via Angelo Fava, Maggiolina, Milan",2,84m²,1,"€ 525,000",https://www.immobiliare.it/en/annunci/108280567/
163,"3-room flat via Sangallo 22, Città Studi, Milan",3,100m²,1,"€ 480,000",https://www.immobiliare.it/en/annunci/108270787/
164,"Penthouse via Angelo Fava, Maggiolina, Milan",2,84m²,1,"€ 525,000",https://www.immobiliare.it/en/annunci/108280601/
165,"4-room flat Brera, Brera, Milan",4,220m²,3,"€ 2,100,000",https://www.immobiliare.it/en/annunci/108283125/
166,"Loft via Ronchi, Udine, Milan",3,127m²,1,"€ 420,000",https://www.immobiliare.it/en/annunci/108269839/
167,"2-room flat via Domenico Trentacoste 3, Lambrate, Milan",2,65m²,1,"€ 275,000",https://www.immobiliare.it/en/annunci/108279277/
168,"Apartment at auction via Carlo Imbonati 62/2, Milan",2,04/05/2024,126m²,"from € 607,490.00",https://www.immobiliare.it/en/annunci/108280351/
169,"Penthouse via Angelo Fava, Maggiolina, Milan",3,118m²,2,"€ 710,000",https://www.immobiliare.it/en/annunci/108280605/
170,"2-room flat via Vespri Siciliani, 31, 20146 Milano Italia, Giambellino, Milan",2,56m²,1,"€ 368,000",https://www.immobiliare.it/en/annunci/108282919/
171,"2-room flat via Arnaldo Fusinato 18, Bovisa, Milan",2,98m²,1,"€ 280,000",https://www.immobiliare.it/en/annunci/108270477/
172,"2-room flat via Francesco Filelfo 5, Sempione, Milan",2,45m²,1,"€ 418,000",https://www.immobiliare.it/en/annunci/108269231/
173,"3-room flat via Demonte 2, Prato Centenaro, Milan",3,93m²,1,"€ 319,000",https://www.immobiliare.it/en/annunci/108282309/
174,"2-room flat viale Umbria 64, Martini - Insubria, Milan",2,61m²,1,"€ 272,000",https://www.immobiliare.it/en/annunci/108276083/
175,"Apartment via Angelo Fava, Maggiolina, Milan",178m²,3,4,"€ 1,180,000",https://www.immobiliare.it/en/annunci/108280669/
176,"3-room flat via Solferino, Moscova, Milan",3,95m²,2,"€ 748,000",https://www.immobiliare.it/en/annunci/108272377/
177,"Penthouse via Angelo Fava, Maggiolina, Milan",178m²,3,4,"€ 1,180,000",https://www.immobiliare.it/en/annunci/108280627/
178,"3-room flat piazzale Giuseppe Massari 1, Maggiolina, Milan",3,95m²,1,"€ 398,000",https://www.immobiliare.it/en/annunci/108279375/
179,"Attic via San Dionigi 1, Corvetto, Milan",4,150m²,3,"€ 310,000",https://www.immobiliare.it/en/annunci/108270475/
180,"Terraced house via Ponte Nuovo 109, Precotto, Milan",5+,215m²,2,"€ 800,000",https://www.immobiliare.it/en/annunci/108278011/
181,"2-room flat viale Fulvio Testi 85, Prato Centenaro, Milan",2,55m²,1,"€ 218,000",https://www.immobiliare.it/en/annunci/108269577/
182,"3-room flat piazza Ernesto De Angeli, De Angeli, Milan",3,130m²,2,"€ 598,000",https://www.immobiliare.it/en/annunci/108277655/
183,"Penthouse via Giovanni Pezzotti 63, Pezzotti - Meda, Milan",5+,200m²,3,"€ 700,000",https://www.immobiliare.it/en/annunci/108270009/
184,"2-room flat viale Monza 149, Turro, Milan",2,70m²,1,"€ 268,000",https://www.immobiliare.it/en/annunci/108279789/
185,"3-room flat viale Achille Papa 26, Portello - Parco Vittoria, Milan",3,75m²,1,"€ 498,000",https://www.immobiliare.it/en/annunci/108277479/
186,"4-room flat corso Giuseppe Garibaldi, Moscova, Milan",4,160m²,2,"€ 1,300,000",https://www.immobiliare.it/en/annunci/108275941/
187,"4-room flat Bastioni di Porta Volta, Garibaldi - Corso Como, Milan",4,130m²,2,"€ 785,000",https://www.immobiliare.it/en/annunci/108272847/
188,"3-room flat piazza Guglielmo Oberdan, Porta Venezia, Milan",3,120m²,2,"€ 850,000",https://www.immobiliare.it/en/annunci/108273559/
189,"3-room flat via Modica, Famagosta, Milan",3,70m²,1,"€ 285,000",https://www.immobiliare.it/en/annunci/108278207/
190,"3-room flat piazza Gae Aulenti, Garibaldi - Corso Como, Milan",3,95m²,1,"€ 890,000",https://www.immobiliare.it/en/annunci/108273743/
191,"4-room flat piazzale Selinunte, San Siro, Milan",4,158m²,3,"€ 610,000",https://www.immobiliare.it/en/annunci/108271443/
192,"2-room flat via Bari 2, Tre Castelli - Faenza, Milan",2,60m²,1,"€ 194,000",https://www.immobiliare.it/en/annunci/108277827/
193,"2-room flat via Giulio Cesare Procaccini, Paolo Sarpi, Milan",2,50m²,1,"€ 259,000",https://www.immobiliare.it/en/annunci/108281949/
194,"2-room flat via Lorenteggio 205, Giambellino, Milan",2,59m²,1,"€ 195,000",https://www.immobiliare.it/en/annunci/108269805/
195,"4-room flat viale Gran Sasso, Città Studi, Milan",4,130m²,3,"€ 550,000",https://www.immobiliare.it/en/annunci/108271103/
196,"Apartment via Costanza 15, Washington, Milan",5,180m²,3,"€ 1,150,000",https://www.immobiliare.it/en/annunci/108273433/
197,"Penthouse via Giovanni Ricordi 2, Città Studi, Milan",3,104m²,2,"€ 695,000",https://www.immobiliare.it/en/annunci/108274055/
198,"3-room flat via della Torre 15, Turro, Milan",3,105m²,2,"€ 315,000",https://www.immobiliare.it/en/annunci/108279265/
