day,district,description,rooms,m2,bathrooms,price,links,house_id,m2-€
2024-01-13,porta-romana-medaglie-d-oro,"4-room flat via Pietro Colletta, Porta Romana - Medaglie d'Oro, Milan",4.0,150.0,2.0,1200000.0,https://www.immobiliare.it/en/annunci/108252481/,108252481,8000.0
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Pietro Colletta 18, Porta Romana - Medaglie d'Oro, Milan",2.0,65.0,1.0,450000.0,https://www.immobiliare.it/en/annunci/108229415/,108229415,6923.076923076923
2024-01-13,porta-romana-medaglie-d-oro,"Loft via Lodovico Muratori 55, Porta Romana - Medaglie d'Oro, Milan",2.0,51.0,1.0,295000.0,https://www.immobiliare.it/en/annunci/108207411/,108207411,5784.313725490196
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Crema 29, Porta Romana - Medaglie d'Oro, Milan",2.0,70.0,2.0,,https://www.immobiliare.it/en/annunci/108499931/,108499931,
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Friuli 23, Porta Romana - Medaglie d'Oro, Milan",2.0,40.0,1.0,320000.0,https://www.immobiliare.it/en/annunci/108153817/,108153817,8000.0
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Lodovico Muratori 42, Porta Romana - Medaglie d'Oro, Milan",2.0,75.0,1.0,520000.0,https://www.immobiliare.it/en/annunci/108115699/,108115699,6933.333333333333
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Passo Buole, Porta Romana - Medaglie d'Oro, Milan",2.0,51.0,4.0,359000.0,https://www.immobiliare.it/en/annunci/108129175/,108129175,7039.21568627451
2024-01-13,porta-romana-medaglie-d-oro,"Apartment viale Sabotino 19/2, Porta Romana - Medaglie d'Oro, Milan",5.0,245.0,2.0,2550000.0,https://www.immobiliare.it/en/annunci/108094879/,108094879,10408.163265306122
2024-01-13,porta-romana-medaglie-d-oro,"Apartment viale Sabotino 19/2, Porta Romana - Medaglie d'Oro, Milan",5.0,233.0,2.0,2450000.0,https://www.immobiliare.it/en/annunci/108089015/,108089015,10515.021459227468
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat viale Umbria, Porta Romana - Medaglie d'Oro, Milan",3.0,105.0,2.0,590000.0,https://www.immobiliare.it/en/annunci/108101521/,108101521,5619.047619047619
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat viale Emilio Caldara 23, Quadronno - Crocetta, Milan",3.0,85.0,2.0,360000.0,https://www.immobiliare.it/en/annunci/108090635/,108090635,4235.294117647059
2024-01-13,porta-romana-medaglie-d-oro,"4-room flat via Crema 17, Porta Romana - Medaglie d'Oro, Milan",4.0,95.0,1.0,635000.0,https://www.immobiliare.it/en/annunci/108033625/,108033625,6684.210526315789
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat viale Umbria, Porta Romana - Medaglie d'Oro, Milan",2.0,45.0,1.0,350000.0,https://www.immobiliare.it/en/annunci/108010545/,108010545,7777.777777777777
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Friuli 14, Porta Romana - Medaglie d'Oro, Milan",2.0,45.0,1.0,289000.0,https://www.immobiliare.it/en/annunci/108022379/,108022379,6422.222222222223
2024-01-13,porta-romana-medaglie-d-oro,"4-room flat via Atto Vanucci, Porta Romana - Medaglie d'Oro, Milan",4.0,110.0,2.0,736000.0,https://www.immobiliare.it/en/annunci/108477937/,108477937,6690.909090909091
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Atto Vannucci, Porta Romana - Medaglie d'Oro, Milan",2.0,80.0,1.0,546000.0,https://www.immobiliare.it/en/annunci/108477317/,108477317,6825.0
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Mantova, Porta Romana - Medaglie d'Oro, Milan",2.0,85.0,1.0,540000.0,https://www.immobiliare.it/en/annunci/108477895/,108477895,6352.941176470588
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat via Gerolamo Tiraboschi, Porta Romana - Medaglie d'Oro, Milan",3.0,95.0,1.0,647000.0,https://www.immobiliare.it/en/annunci/108477465/,108477465,6810.526315789473
2024-01-13,porta-romana-medaglie-d-oro,"Attic via Trebbia 33, Porta Romana - Medaglie d'Oro, Milan",1.0,32.0,1.0,227000.0,https://www.immobiliare.it/en/annunci/107945363/,107945363,7093.75
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat via filippetti, Porta Romana - Medaglie d'Oro, Milan",3.0,110.0,1.0,590000.0,https://www.immobiliare.it/en/annunci/108435383/,108435383,5363.636363636364
2024-01-13,porta-romana-medaglie-d-oro,"Loft via Adige 19, Porta Romana - Medaglie d'Oro, Milan",2.0,85.0,1.0,500000.0,https://www.immobiliare.it/en/annunci/107891061/,107891061,5882.35294117647
2024-01-13,porta-romana-medaglie-d-oro,"Loft via Adige 19, Porta Romana - Medaglie d'Oro, Milan",1.0,65.0,1.0,400000.0,https://www.immobiliare.it/en/annunci/107892615/,107892615,6153.846153846154
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Serviliano Lattuada 9, Porta Romana - Medaglie d'Oro, Milan",2.0,55.0,1.0,610000.0,https://www.immobiliare.it/en/annunci/107843667/,107843667,11090.90909090909
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat piazzale Medaglie d'Oro, Porta Romana - Medaglie d'Oro, Milan",3.0,95.0,1.0,450000.0,https://www.immobiliare.it/en/annunci/108598261/,108598261,4736.8421052631575
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Andrea Palladio 18, Porta Romana - Medaglie d'Oro, Milan",2.0,63.0,1.0,579000.0,https://www.immobiliare.it/en/annunci/107838119/,107838119,9190.47619047619
2024-01-13,porta-romana-medaglie-d-oro,"4-room flat via Carlo Botta 16, Porta Romana - Medaglie d'Oro, Milan",4.0,123.0,2.0,579000.0,https://www.immobiliare.it/en/annunci/107843991/,107843991,4707.317073170731
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Giulio Romano, Porta Romana - Medaglie d'Oro, Milan",2.0,60.0,1.0,355000.0,https://www.immobiliare.it/en/annunci/107835305/,107835305,5916.666666666667
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat excellent condition, fifth floor, Porta Romana - Medaglie d'Oro, Milan",2.0,60.0,1.0,480000.0,https://www.immobiliare.it/en/annunci/107841481/,107841481,8000.0
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Friuli 32, Porta Romana - Medaglie d'Oro, Milan",2.0,52.0,1.0,319000.0,https://www.immobiliare.it/en/annunci/107804603/,107804603,6134.615384615385
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat via Crema, Porta Romana - Medaglie d'Oro, Milan",3.0,95.0,1.0,450000.0,https://www.immobiliare.it/en/annunci/108598201/,108598201,4736.8421052631575
2024-01-13,porta-romana-medaglie-d-oro,"Studio good condition, first floor, Porta Romana - Medaglie d'Oro, Milan",1.0,43.0,1.0,265000.0,https://www.immobiliare.it/en/annunci/107772057/,107772057,6162.790697674419
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat excellent condition, first floor, Porta Romana - Medaglie d'Oro, Milan",2.0,50.0,1.0,360000.0,https://www.immobiliare.it/en/annunci/107775249/,107775249,7200.0
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat viale Monte Nero 8, Porta Romana - Medaglie d'Oro, Milan",2.0,95.0,2.0,419000.0,https://www.immobiliare.it/en/annunci/107758557/,107758557,4410.526315789473
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat viale Sabotino 7, Porta Romana - Medaglie d'Oro, Milan",2.0,50.0,1.0,269000.0,https://www.immobiliare.it/en/annunci/108127143/,108127143,5380.0
